"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","label"
"170","0HEmnAUT8PHznIAAmVXqFJ",0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,193200,1
"171","7cGfrVoC7G03XeXn7yflx5",0.747,0.904,9,-2.623,1,0.0803,0.046,0.106,0.203,0.846,118.877,181827,1
"172","2QgWuCtBpNIpl5trmKCxRf",0.527,0.509,7,-10.893,1,0.0628,0.6,0,0.144,0.497,138.317,515867,1
"173","756CJtQRFSxEx9jV4P9hpA",0.442,0.846,4,-5.214,1,0.0764,0.0538,4.71e-06,0.282,0.622,128.235,217653,1
"174","6cnd6UwOyvEPWUjuuDKMIP",0.508,0.725,2,-10.795,1,0.0344,0.0157,1.26e-06,0.0995,0.741,138.934,216427,1
"175","1b7LMtXCXGc2EwOIplI35z",0.787,0.541,7,-10.437,1,0.0403,0.0825,0.000311,0.065,0.962,124.194,203893,1
"176","2hrsRRydXNtspNSehQU8RD",0.736,0.813,7,-4.296,1,0.0853,0.0393,1.64e-06,0.164,0.933,118.968,203934,1
"177","2RjkntlqlkbPFQjufJf8G9",0.597,0.93,2,-3.23,1,0.0477,0.0776,0.000404,0.0566,0.693,119.788,254213,1
"178","6S9lcjREUTU4Yv5y7oMcv2",0.566,0.811,11,-9.849,0,0.0435,0.732,0.645,0.596,0.961,127.944,119387,1
"179","71O1jD7bF3cdMPvPi186V6",0.477,0.776,1,-5.056,1,0.0349,0.0155,0.00314,0.203,0.429,131.004,276720,1
"180","4AdgZcX33Iq9fQGRHWDr5j",0.837,0.592,3,-14.264,1,0.0671,0.0754,0.000251,0.0671,0.836,125.686,245707,1
"181","7jA4agDnt1Oc6Fn2hifX0t",0.578,0.936,9,-5.761,1,0.0364,0.00305,0.687,0.47,0.659,131.268,208907,1
"182","1Te8WIfLudxjHTr66BL0JK",0.731,0.822,1,-5.305,1,0.0459,0.394,0,0.288,0.708,118.021,196613,1
"183","1nInOsHbtotAmEOQhtvnzP",0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,221947,1
"184","3vGmNTCxk0OnOWbzIVFHgK",0.806,0.657,9,-11.574,1,0.158,0.267,0.000182,0.224,0.702,89.492,133227,1
"185","2Wbf4FpDxo9CGmepoV2RfU",0.682,0.724,3,-5.055,0,0.0306,0.164,0,0.301,0.491,132.042,203280,1
"186","1ALSCAxmx0zSt27vzEtLkZ",0.683,0.719,7,-4.568,1,0.0299,0.533,1.84e-05,0.112,0.907,118.731,165427,1
"187","74mS2Q0bTQsq3dHuQ55Zj8",0.479,0.931,8,-3.976,1,0.0613,0.00767,0,0.306,0.708,154.931,179387,1
"188","7HX9f8AMBl0vQxAoAzLqhS",0.749,0.484,5,-9.944,1,0.0484,0.13,0.137,0.0501,0.939,167.084,187431,1
"189","1iF2TYT5ScZ2BStvrrxyrE",0.736,0.676,5,-7.28,1,0.0408,0.0808,0.149,0.197,0.935,125.046,253439,1
"190","0KxTWgl64TNOQXiGFJYc6t",0.782,0.874,2,-7.157,1,0.0474,0.141,0.0584,0.112,0.859,123.179,252933,1
